time_ps,voltage
13.3,0.0191704
13.4,0.0189548
13.5,0.0187417
13.6,0.0185309
13.7,0.0183225
13.8,0.0181165
13.9,0.0179127
14,0.0177113
14.1,0.0175121
14.2,0.0173152
14.3,0.0171204
14.4,0.0169279
14.5,0.0167375
14.6,0.0165493
14.7,0.0163632
14.8,0.0161792
14.9,0.0159972
15,0.0158173
15.1,0.0156394
15.2,0.0154636
15.3,0.0152897
15.4,0.0151177
15.5,0.0149477
15.6,0.0147796
15.7,0.0146134
15.8,0.014449
15.9,0.0142865
16,0.0141259
16.1,0.013967
16.2,0.0138099
16.3,0.0136546
16.4,0.0135011
16.5,0.0133492
16.6,0.0131991
16.7,0.0130507
16.8,0.0129039
16.9,0.0127588
17,0.0126153
17.1,0.0124734
17.2,0.0123332
17.3,0.0121945
17.4,0.0120573
17.5,0.0119217
17.6,0.0117877
17.7,0.0116551
17.8,0.011524
17.9,0.0113944
18,0.0112663
18.1,0.0111396
18.2,0.0110143
18.3,0.0108904
18.4,0.010768
18.5,0.0106469
18.6,0.0105271
18.7,0.0104087
18.8,0.0102917
18.9,0.010176
19,0.0100615
19.1,0.00994836
19.2,0.00983648
19.3,0.00972586
19.4,0.00961648
19.5,0.00950834
19.6,0.0094014
19.7,0.00929568
19.8,0.00919114
19.9,0.00908777
20,0.00898557
20.1,0.00888452
20.2,0.00878461
20.3,0.00868581
20.4,0.00858813
20.5,0.00849155
20.6,0.00839605
20.7,0.00830163
20.8,0.00820827
20.9,0.00811596
21,0.00802469
21.1,0.00793444
21.2,0.00784521
21.3,0.00775699
21.4,0.00766975
21.5,0.0075835
21.6,0.00749821
21.7,0.00741389
21.8,0.00733051
21.9,0.00724807
22,0.00716656
22.1,0.00708596
22.2,0.00700628
22.3,0.00692748
22.4,0.00684958
22.5,0.00677255
22.6,0.00669638
22.7,0.00662107
22.8,0.00654661
22.9,0.00647299
23,0.00640019
23.1,0.00632822
23.2,0.00625705
23.3,0.00618668
23.4,0.00611711
23.5,0.00604832
23.6,0.0059803
23.7,0.00591304
23.8,0.00584654
23.9,0.00578079
24,0.00571578
24.1,0.0056515
24.2,0.00558795
24.3,0.0055251
24.4,0.00546297
24.5,0.00540153
24.6,0.00534079
24.7,0.00528072
24.8,0.00522134
24.9,0.00516262
25,0.00510456
25.1,0.00504715
25.2,0.00499039
25.3,0.00493427
25.4,0.00487878
25.5,0.00482391
25.6,0.00476966
25.7,0.00471602
25.8,0.00466299
25.9,0.00461055
26,0.0045587
26.1,0.00450743
26.2,0.00445674
26.3,0.00440662
26.4,0.00435706
26.5,0.00430806
26.6,0.00425961
26.7,0.00421171
26.8,0.00416434
26.9,0.00411751
27,0.00407121
27.1,0.00402542
27.2,0.00398015
27.3,0.00393539
27.4,0.00389113
27.5,0.00384737
27.6,0.00380411
27.7,0.00376132
27.8,0.00371902
27.9,0.0036772
28,0.00363585
28.1,0.00359496
28.2,0.00355453
28.3,0.00351455
28.4,0.00347503
28.5,0.00343595
28.6,0.00339731
28.7,0.0033591
28.8,0.00332133
28.9,0.00328397
29,0.00324704
29.1,0.00321053
29.2,0.00317442
29.3,0.00313872
29.4,0.00310342
29.5,0.00306852
29.6,0.00303401
29.7,0.00299989
29.8,0.00296616
29.9,0.0029328
30,0.00289982
30.1,0.0028672
30.2,0.00283496
30.3,0.00280308
30.4,0.00277155
30.5,0.00274039
30.6,0.00270957
30.7,0.0026791
30.8,0.00264897
30.9,0.00261918
31,0.00258972
31.1,0.0025606
31.2,0.0025318
31.3,0.00250333
31.4,0.00247517
31.5,0.00244734
31.6,0.00241982
31.7,0.0023926
31.8,0.0023657
31.9,0.00233909
32,0.00231279
32.1,0.00228678
32.2,0.00226106
32.3,0.00223563
32.4,0.00221049
32.5,0.00218563
32.6,0.00216105
32.7,0.00213675
32.8,0.00211272
32.9,0.00208896
33,0.00206546
33.1,0.00204224
33.2,0.00201927
33.3,0.00199656
33.4,0.00197411
33.5,0.00195191
33.6,0.00192996
33.7,0.00190825
33.8,0.00188679
33.9,0.00186557
34,0.00184459
34.1,0.00182385
34.2,0.00180334
34.3,0.00178306
34.4,0.001763
34.5,0.00174318
34.6,0.00172357
34.7,0.00170419
34.8,0.00168502
34.9,0.00166607
35,0.00164734
35.1,0.00162881
35.2,0.00161049
35.3,0.00159238
35.4,0.00157447
35.5,0.00155677
35.6,0.00153926
35.7,0.00152195
35.8,0.00150483
35.9,0.00148791
36,0.00147118
36.1,0.00145463
36.2,0.00143827
36.3,0.0014221
36.4,0.00140611
36.5,0.00139029
36.6,0.00137466
36.7,0.0013592
36.8,0.00134391
36.9,0.0013288
37,0.00131386
37.1,0.00129908
37.2,0.00128447
37.3,0.00127003
37.4,0.00125574
37.5,0.00124162
37.6,0.00122766
37.7,0.00121385
37.8,0.0012002
37.9,0.0011867
38,0.00117336
38.1,0.00116016
38.2,0.00114711
38.3,0.00113421
38.4,0.00112146
38.5,0.00110885
38.6,0.00109638
38.7,0.00108405
38.8,0.00107185
38.9,0.00139867
39,0.00204609
39.1,0.00299655
39.2,0.00423328
39.3,0.00574029
39.4,0.00750229
39.5,0.00950473
39.6,0.0117337
39.7,0.0141759
39.8,0.0168187
39.9,0.01965
7.88407e-13,0.0226583
0.1,0.0258327
0.2,0.0291626
0.3,0.0326381
0.4,0.0362496
0.5,0.0399882
0.6,0.043845
0.7,0.047812
0.8,0.0518813
0.9,0.0560453
1,0.0602971
1.1,0.0646297
1.2,0.0690368
1.3,0.0735122
1.4,0.07805
1.5,0.0826448
1.6,0.0872912
1.7,0.0919842
1.8,0.096719
1.9,0.101491
2,0.106296
2.1,0.11113
2.2,0.115989
2.3,0.120869
2.4,0.125767
2.5,0.130679
2.6,0.135603
2.7,0.140535
2.8,0.145472
2.9,0.150412
3,0.155353
3.1,0.160291
3.2,0.165225
3.3,0.170152
3.4,0.175071
3.5,0.179979
3.6,0.184874
3.7,0.189756
3.8,0.194622
3.9,0.199471
4,0.204301
4.1,0.209111
4.2,0.2139
4.3,0.218667
4.4,0.22341
4.5,0.228129
4.6,0.232822
4.7,0.237489
4.8,0.242128
4.9,0.24674
5,0.251323
5.1,0.255876
5.2,0.2604
5.3,0.264893
5.4,0.269355
5.5,0.273785
5.6,0.278183
5.7,0.282549
5.8,0.286882
5.9,0.291181
6,0.295448
6.1,0.29968
6.2,0.303879
6.3,0.308043
6.4,0.312173
6.5,0.316269
6.6,0.32033
6.7,0.324356
6.8,0.328348
6.9,0.332304
7,0.336226
7.1,0.340113
7.2,0.343965
7.3,0.347782
7.4,0.351564
7.5,0.355311
7.6,0.359024
7.7,0.362701
7.8,0.366345
7.9,0.369953
8,0.373527
8.1,0.377067
8.2,0.380573
8.3,0.384045
8.4,0.387483
8.5,0.390887
8.6,0.394258
8.7,0.397596
8.8,0.4009
8.9,0.404171
9,0.407409
9.1,0.410615
9.2,0.413789
9.3,0.41693
9.4,0.420039
9.5,0.423116
9.6,0.426162
9.7,0.429177
9.8,0.43216
9.9,0.435113
10,0.438035
10.1,0.440926
10.2,0.443788
10.3,0.446619
